Warning at line 175, column 9: Unused variable 'ignored'
Warning at line 2092, column 9: Unused variable 'rejected'
Warning at line 2213, column 9: Unused variable 'rejected'
Warning at line 2220, column 13: Unused variable 'rejected'
Warning at line 2258, column 9: Unused variable 'rejected'
Warning at line 2262, column 9: Unused variable 'rejected'
Warning at line 2269, column 13: Unused variable 'rejected'
Warning at line 5384, column 17: Unused variable 'imported'
[shadow-progress] elapsed_ms=15.217 admission_calls=34 admission_ms=30.186 assert_traps=30 full_calls=4 full_ns=30185378 reuse_calls=30 reuse_ns=944 admission_ns=30186322 leave fn=582 pc=154815 name=$shadow_19_diag_list_count
[shadow-progress] elapsed_ms=15.218 admission_calls=34 admission_ms=30.186 assert_traps=30 full_calls=4 full_ns=30185378 reuse_calls=30 reuse_ns=944 admission_ns=30186322 enter fn=583 pc=154900 name=$shadow_20_diag_list_get
[shadow-progress] elapsed_ms=15.221 admission_calls=35 admission_ms=30.186 assert_traps=31 full_calls=4 full_ns=30185378 reuse_calls=31 reuse_ns=976 admission_ns=30186354 leave fn=583 pc=154900 name=$shadow_20_diag_list_get
[shadow-progress] elapsed_ms=15.223 admission_calls=35 admission_ms=30.186 assert_traps=31 full_calls=4 full_ns=30185378 reuse_calls=31 reuse_ns=976 admission_ns=30186354 enter fn=584 pc=154980 name=$shadow_21_diag_id_io_open
[shadow-progress] elapsed_ms=15.224 admission_calls=36 admission_ms=30.186 assert_traps=32 full_calls=4 full_ns=30185378 reuse_calls=32 reuse_ns=1008 admission_ns=30186386 leave fn=584 pc=154980 name=$shadow_21_diag_id_io_open
[shadow-progress] elapsed_ms=15.226 admission_calls=36 admission_ms=30.186 assert_traps=32 full_calls=4 full_ns=30185378 reuse_calls=32 reuse_ns=1008 admission_ns=30186386 enter fn=585 pc=154993 name=$shadow_22_diag_id_lex_failed
[shadow-progress] elapsed_ms=15.228 admission_calls=37 admission_ms=30.186 assert_traps=33 full_calls=4 full_ns=30185378 reuse_calls=33 reuse_ns=1040 admission_ns=30186418 leave fn=585 pc=154993 name=$shadow_22_diag_id_lex_failed
[shadow-progress] elapsed_ms=15.229 admission_calls=37 admission_ms=30.186 assert_traps=33 full_calls=4 full_ns=30185378 reuse_calls=33 reuse_ns=1040 admission_ns=30186418 enter fn=586 pc=155006 name=$shadow_23_diag_id_parse_failed
[shadow-progress] elapsed_ms=15.231 admission_calls=38 admission_ms=30.186 assert_traps=34 full_calls=4 full_ns=30185378 reuse_calls=34 reuse_ns=1072 admission_ns=30186450 leave fn=586 pc=155006 name=$shadow_23_diag_id_parse_failed
[shadow-progress] elapsed_ms=15.232 admission_calls=38 admission_ms=30.186 assert_traps=34 full_calls=4 full_ns=30185378 reuse_calls=34 reuse_ns=1072 admission_ns=30186450 enter fn=587 pc=155019 name=$shadow_24_diag_id_import_failed
